industry_id,industry_name,sector
IND-001,Banking,
IND-002,Chemical Manufacturing,
IND-003,Civic and Social Organizations,
IND-004,Confidential,
IND-005,Education,
IND-006,Financial Services,
IND-007,Freelance,
IND-008,Government Administration,
IND-009,"Health, Wellness & Fitness",
IND-010,Higher Education,
IND-011,Hospitals and Health Care,
IND-012,Information Services,
IND-013,Information Technology & Services,
IND-014,Insurance,
IND-015,Investment Management,
IND-016,IT Services and IT Consulting,
IND-017,Manufacturing,
IND-018,Motor Vehicle Manufacturing,
IND-019,Oil and Gas,
IND-020,Professional Services,
IND-021,Research Services,
IND-022,Retail,
IND-023,Semiconductor Manufacturing,
IND-024,Software Development,
IND-025,"Technology, Information and Internet",
IND-026,Telecommunications,
IND-027,Utilities,
