certification_id,certification_title,institute
AZURE,Microsoft Certified: Azure Administrator Associate,
BCMS,Business Continuity Management Solution,
CAPM,Certified Associate in Project Management,
CARTP,Certified Azure Red Team Professional,
CC,Certified in Cybersecurity,
CCISO,Certified Chief Information Security Officer,
CCNA,CISCO Certified Network Associate- Routing and Switching ,
CCNP,CISCO Certified Networking Professional -Enterprise,
CCSP,Certified Cloud Security Professional,
CCZT,Certified Cybersecurity Zero Trust,
CDPSE,Certified Data Privacy Solutions Engineer,
CEH,Certified Ethical Hacker,
CGEIT,Certified in the Governance if Enterprise IT,
CHFI,Computer Hacking Forensic Investigator,
CIPM,Certified Information Privacy Manager,
CISA,Certified in Risk and Information Systems Control,
CISM,Certified in Risk and Information Systems Control,
CISRM,Certified Information Systems Risk Manager,
CISSA,Certified Information Systems Security Auditor,
CISSM,Certified Information Systems Security Manager,
CISSO,Certified Information Systems Security Officer,
CISSP,Certified Information Systems Security Professional,
CNA,Certified Network Administrator,
CND,Certified Network Defender (CND),
CNDA,Certified Network Defense Architect,
CNSP,CompTIA Network Security Professional – CNSP Stackable Certification,
CNSS,Certified Network Security Specialist,
CNVP,Certified Network Vulnerability Professional,
CRISC,Certification in Risk and Information Systems Control,
CRTE,Certified Red Team Expert,
CRTL,Certified Red Team Lead,
CRTM,Certified Red Team Master,
CRTO,Certified Red Team Operator,
CRTP,Certified Red Team Professional,
CSA,Certified Security Analyst,
CSAP,CompTIA Security Analytics Professional – CSAP Stackable Certification,
CSFPC,Cyber Security Foundation Professional Certificate,
CSXF,Cybersecurity Fundamentals Certificate,
CTIA-N+,CompTIA Network+,
CTIA-S+,COMPTIA Security +,
CWES,Certified Web Exploitation Specialist,
CySA+,CompTIA CySA+ ce Certification,
DFIR,Digital Forensics & Incident Response,
EDRP,Disaster Recovery Professional,
FOR-508,"Advanced Incident Response, Threat Hunting, and Digital Forensics",
FOR-572,"Advanced Network Forensics, Threat Hunting, Analysis,and Incident Response",
