expertise_id,expertise_title,skills_include,expertise_description
EXP-01,Blockchain & Technology community,,
EXP-02,Information Security Specialist,,
EXP-03,Implementing information security standards,,
EXP-04,Information Security Architect,,
EXP-05,IT Consultant,,
EXP-06,Cyber Resilience,,
EXP-07,"Resilience, Risk Management, and Cybersecurity",,
EXP-09,Cybersecurity Management,,
EXP-10,Auditor,,
EXP-14,Manager,,
EXP-15,Global information security leadership training and mentoring,,
EXP-16,"Strategy, governance, and education building resilient ",,
EXP-17,Information Security Management,,
EXP-18,Information Technology,,
EXP-19,IT & Audit,,
EXP-25,Consulting,,
EXP-26,Regulatory Compliance,,
EXP-28,Transformation & Innovation,,
EXP-30,Security Architect,,
EXP-31,Cyber AI,,
EXP-32,Networking,,
EXP-34,Lead Auditor,,
EXP-36,Risk Management,,
EXP-41,IT GRC,,
EXP-42,Security Assurance,,
EXP-43,IT Operations,,
EXP-44,Security Officer,,
EXP-45,Business Developer,,
EXP-46,Research,,
EXP-47,Cybersecurity Architect,,
EXP-48,Application Security,,
EXP-49,Security Specialist,,
EXP-51,"IT, GDPR",,
EXP-53,IT Auditor,,
