organization_id,organization_name,organization_address,contact_number,website_link
ORG-001,Agap2IT Portugal,,,
ORG-002,Axians Portugal,,,
ORG-003,Celfocus,,,
ORG-004,CiberPro,,,
ORG-005,CIIWA,,,
ORG-006,Cipher,,,
ORG-007,CMVM Portuguese Securities Market Commission,,,
ORG-008,Confidential,,,
ORG-009,Delta Cafes,,,
ORG-010,Devoteam Cyber Trust,,,
ORG-011,"Douro and Paiva Water Services, S.A",,,
ORG-012,EcoX Dubai,,,
ORG-013,Elementis Global,,,
ORG-014,EU CyberNet,,,
ORG-015,Euronext,,,
ORG-016,European Commission,,,
ORG-017,Freelancer,,,
ORG-018,Galp,,,
ORG-019,Grupo Ageas Portugal,,,
ORG-020,GSMA,,,
ORG-021,Infineon Technologies,,,
ORG-022,InnoWave,,,
ORG-023,INOV Leading innovation in ICT and Electronics,,,
ORG-024,Intrum,,,
ORG-025,Jeronimo Martins,,,
ORG-026,Leading innovation in ICT and Electronics,,,
ORG-027,Linkt Permanent,,,
ORG-028,Logicalis,,,
ORG-029,Lusiadas Saude,,,
ORG-030,MC Sonae,,,
ORG-031,MEDICARE Portugal,,,
ORG-032,Mercedes-Benz.io,,,
ORG-033,MGEN Portugal,,,
ORG-034,Microsoft,,,
ORG-035,Millennium bcp,,,
ORG-036,MSTelcom,,,
ORG-037,NDA,,,
ORG-038,Noesis,,,
ORG-039,Pharo Management,,,
ORG-040,Professor convidado,,,
ORG-041,PWC,,,
ORG-042,QUANTEAM,,,
ORG-043,Research and Innovation Foundation,,,
ORG-044,Santa Casa da Misericordia do Porto,,,
ORG-045,Santander,,,
ORG-046,SCORPIONSHIELD,,,
ORG-047,SecureLeap,,,
ORG-048,Sofinco Spain,,,
ORG-049,Springer Nature,,,
ORG-050,TradeBP,,,
ORG-051,Undisclosed,,,
ORG-052,Visteon Corporation,,,
